502709              |Besteckhalter                                                                                                                                                                                           |Garten & Balkon > Grillgeräte > Grill-Zubehör                                                                                     |9.99      |Hellweg |Weber                                             |
531303              |Fell-Entfilzungsmesser 17 cm, Perfect Care                                                                                                                                                              |Freizeit & Haustier > Tierpflege > Hundepflege                                                                                    |14.99     |Hellweg |Karlie                                            |
454035              |APS Aquarienluftpumpen APS 100                                                                                                                                                                          |Freizeit & Haustier > Aquaristik > Filter und Pumpen                                                                              |19.99     |Hellweg |Tetra                                             |
423819              |Klebeband 60mmx40m für Dampfbremsfolie                                                                                                                                                                  |Bauen & Renovieren > Wand & Decke > Dämmen                                                                                        |34.99     |Hellweg |Ursa                                              |
415056              |Rohrrahmenschloss Profilzylinder 35mm                                                                                                                                                                   |Bauen & Renovieren > Türen > Schliesstechnik                                                                                      |29.99     |Hellweg |Connex                                            |
569564              |Wannenfüll- und Brausearmatur, »Marseille«                                                                                                                                                              |Bad & Sanitär > Armaturen & Brausen > Wannenfüll- und Brausearmaturen                                                             |37.99     |Hellweg |keine Angabe                                      |
524828              |Teleskopastschere »Amboss«                                                                                                                                                                              |Garten & Balkon > Gartengeräte > Garten- und Baumscheren                                                                          |26.99     |Hellweg |Plantiflor                                        |
524923              |Steckdosen-Säule 2fach                                                                                                                                                                                  |Maschinen & Werkzeuge > Elektrowerkzeuge > Verlängerungen und Mehrfachstecker                                                     |29.99     |Hellweg |keine Angabe                                      |
533473              |Treba Aluminium Geländerset »AB1«                                                                                                                                                                       |Bauen & Renovieren > Treppen > Treppen-Zubehör                                                                                    |199.99    |Hellweg |keine Angabe                                      |
534328              |Übergangsschiene, fol. 30 mm SK Eiche                                                                                                                                                                   |Bauen & Renovieren > Bodenbeläge > Bodenleisten, -profile und -schienen                                                           |9.99      |Hellweg |keine Angabe                                      |
496376              |2in1 Holzschutzlasur Lösungsmittelhaltig, palisander 750 ml                                                                                                                                             |Farben & Tapeten > Farben > Holzschutz                                                                                            |10.99     |Hellweg |Vincent                                           |
498552              |Kunststoff-Rohrbogen                                                                                                                                                                                    |Bauen & Renovieren > Hausentwässerung > Dachrinnen                                                                                |4.99      |Hellweg |Marley                                            |
524814              |Wand-Schlauchtrommel                                                                                                                                                                                    |Garten & Balkon > Gartenbewässerung > Schlauchwagen und -halter                                                                   |39.99     |Hellweg |Plantiflor                                        |
156369              |KG-Bogen                                                                                                                                                                                                |Bauen & Renovieren > Hausentwässerung > KG-Rohre                                                                                  |2.49      |Hellweg |Marley                                            |
443687              |Treba Geländerstab »E1«                                                                                                                                                                                 |Bauen & Renovieren > Treppen > Treppen-Zubehör                                                                                    |137.99    |Hellweg |keine Angabe                                      |
237850              |Saarpor Rohrisolierung                                                                                                                                                                                  |Heizen & Klima > Heizgeräte > Heizungs-Zubehör                                                                                    |2.79      |Hellweg |keine Angabe                                      |
432491              |Duschwanne                                                                                                                                                                                              |Bad & Sanitär > Badewannen & Duschen > Duschwannen                                                                                |229       |Hellweg |Dusar                                             |
235565              |Malerplane, mittelstark                                                                                                                                                                                 |Farben & Tapeten > Malerwerkzeug > Folien und Planen                                                                              |0.27      |Hellweg |Lindner                                           |
156168              |HT-Muffenstopfen                                                                                                                                                                                        |Bauen & Renovieren > Hausentwässerung > HT-Rohre                                                                                  |1.49      |Hellweg |Marley                                            |
430406              |Pond Variety Sticks 4 L                                                                                                                                                                                 |Garten & Balkon > Teiche > Teichfischfutter                                                                                       |11.99     |Hellweg |Tetra                                             |
551290              |Rattanstuhl »Larissa«                                                                                                                                                                                   |Haushalt & Wohnen > Möbel & Einrichtung > Wohnmöbel                                                                               |59.99     |Hellweg |keine Angabe                                      |
515659              |ECO-Halogenleuchtmittel »Halopar 16«                                                                                                                                                                    |Leuchten & Elektrobedarf > Leuchten > Leuchtmittel                                                                                |6.49      |Hellweg |keine Angabe                                      |
525254              |Insektenschutznetz, schwarz                                                                                                                                                                             |Garten & Balkon > Balkon & Terrasse > Insektenschutz                                                                              |1.59      |Hellweg |keine Angabe                                      |
577997              |Wandtank »Slim«, 650 L                                                                                                                                                                                  |Garten & Balkon > Gartenbewässerung > Regentonnen                                                                                 |219       |Hellweg |4rain                                             |
